model,scene,orig,new,shift,pred,miss,feat_dist,null_feat_dist
raw_single_channel_phase_gat_team_mean_seed11,421,1,0,-0.3069,0,False,53.8142,34.0574
raw_single_channel_phase_gat_team_mean_seed11,51,2,1,-0.0817,1,False,9.521,10.9475
raw_single_channel_phase_gat_team_mean_seed11,186,1,0,-0.1751,0,False,23.7137,22.8621
raw_single_channel_phase_gat_team_mean_seed11,239,0,1,0.3181,1,False,44.7338,26.481
raw_single_channel_phase_gat_team_mean_seed11,304,1,2,0.266,2,False,36.2,19.9403
raw_single_channel_phase_gat_team_mean_seed11,363,1,0,-0.2604,0,False,33.7941,19.0324
raw_single_channel_phase_gat_team_mean_seed11,300,1,2,0.2217,2,False,28.636,16.8025
raw_single_channel_phase_gat_team_mean_seed11,283,1,2,0.1615,1,True,19.4664,17.3131
raw_single_channel_phase_gat_team_mean_seed11,153,1,0,-0.3112,0,False,45.2644,46.4197
raw_single_channel_phase_gat_team_mean_seed11,369,1,0,-0.2375,0,False,35.1366,20.6516
raw_single_channel_phase_gat_team_mean_seed11,307,1,2,0.2421,1,True,26.3029,20.657
raw_single_channel_phase_gat_team_mean_seed11,194,1,0,-0.0377,0,False,6.672,6.1601
raw_single_channel_phase_gat_team_mean_seed11,295,2,1,-0.0559,1,False,11.7563,11.8922
raw_single_channel_phase_gat_team_mean_seed11,150,1,0,-0.3564,0,False,47.4562,
raw_single_channel_phase_gat_team_mean_seed11,337,0,1,0.0828,1,False,15.7782,10.8932
raw_single_channel_phase_gat_team_mean_seed11,366,1,0,-0.2538,0,False,33.0256,17.9257
raw_single_channel_phase_gat_team_mean_seed11,411,1,2,0.3371,1,True,42.3827,46.6805
raw_single_channel_phase_gat_team_mean_seed11,277,1,0,-0.2888,0,False,35.1062,24.9741
raw_single_channel_phase_gat_team_mean_seed11,237,0,1,0.3017,1,False,42.1013,22.8657
raw_single_channel_phase_gat_team_mean_seed11,168,1,0,-0.2505,0,False,32.565,29.9327
raw_single_channel_phase_gat_team_mean_seed11,269,1,0,-0.0839,0,False,13.1775,9.9606
raw_single_channel_phase_gat_team_mean_seed11,250,0,1,0.3796,1,False,48.0894,23.5746
raw_single_channel_phase_gat_team_mean_seed11,271,1,0,-0.1914,0,False,22.6457,16.5536
raw_single_channel_phase_gat_team_mean_seed11,396,1,2,0.3028,1,True,33.0378,29.3393
raw_single_channel_phase_gat_team_mean_seed11,353,1,0,-0.2703,0,False,40.6548,24.5158
raw_single_channel_phase_gat_team_mean_seed11,335,0,1,0.1388,1,False,18.1508,13.7599
raw_single_channel_phase_gat_team_mean_seed11,245,0,1,0.3403,1,False,45.7457,29.2666
raw_single_channel_phase_gat_team_mean_seed11,44,1,0,-0.2131,0,False,28.2081,26.1997
raw_single_channel_phase_gat_team_mean_seed11,169,1,0,-0.2963,0,False,35.9019,33.2645
raw_single_channel_phase_gat_team_mean_seed11,296,2,1,-0.0435,1,False,7.2124,10.4216
raw_single_channel_phase_gat_team_mean_seed11,309,1,2,0.224,1,True,25.353,22.3673
raw_single_channel_phase_gat_team_mean_seed11,359,1,0,-0.2691,0,False,35.1706,23.7938
raw_single_channel_phase_gat_team_mean_seed11,266,1,0,-0.0543,0,False,10.5996,7.4704
raw_single_channel_phase_gat_team_mean_seed11,340,1,0,-0.0638,0,False,9.2539,9.5802
raw_single_channel_phase_gat_team_mean_seed11,290,1,2,0.0393,2,False,4.2649,8.4913
raw_single_channel_phase_gat_team_mean_seed11,187,1,0,-0.1608,0,False,21.6786,22.1438
raw_single_channel_phase_gat_team_mean_seed11,34,0,1,0.3862,1,False,45.7017,25.7957
raw_single_channel_phase_gat_team_mean_seed11,4,1,0,-0.1672,0,False,29.8064,19.2261
raw_single_channel_phase_gat_team_mean_seed11,177,1,0,-0.3451,0,False,43.3688,42.3333
raw_single_channel_phase_gat_team_mean_seed11,264,1,0,-0.0488,0,False,8.8237,7.8004
raw_single_channel_phase_gat_team_mean_seed11,233,0,1,0.2227,1,False,31.6417,19.0193
raw_single_channel_phase_gat_team_mean_seed11,18,0,1,0.1891,1,False,31.0994,14.2308
raw_single_channel_phase_gat_team_mean_seed11,380,1,0,-0.2671,0,False,30.9744,21.3692
raw_single_channel_phase_gat_team_mean_seed11,346,1,0,-0.2288,0,False,34.3736,20.9374
raw_single_channel_phase_gat_team_mean_seed11,38,0,1,0.2519,1,False,36.6564,18.6385
raw_single_channel_phase_gat_team_mean_seed11,173,1,0,-0.3208,0,False,41.2394,31.428
raw_single_channel_phase_gat_team_mean_seed11,275,1,0,-0.2646,0,False,37.82,28.6387
raw_single_channel_phase_gat_team_mean_seed11,28,0,1,0.2617,1,False,42.7502,18.982
raw_single_channel_phase_gat_team_mean_seed11,126,2,1,-0.1324,1,False,22.3793,15.7215
raw_single_channel_phase_gat_team_mean_seed11,354,1,0,-0.2682,0,False,37.4837,24.7997
raw_single_channel_phase_gat_team_mean_seed11,326,1,0,-0.1646,0,False,21.3042,15.96
raw_single_channel_phase_gat_team_mean_seed11,171,1,0,-0.3212,0,False,38.4304,30.2945
raw_single_channel_phase_gat_team_mean_seed11,52,2,1,-0.1589,1,False,21.3872,18.0838
raw_single_channel_phase_gat_team_mean_seed11,190,1,0,-0.0755,0,False,11.725,12.5331
raw_single_channel_phase_gat_team_mean_seed11,2,1,0,-0.3033,0,False,49.6632,33.1468
raw_single_channel_phase_gat_team_mean_seed11,174,1,0,-0.3295,0,False,42.7597,35.3947
raw_single_channel_phase_gat_team_mean_seed11,120,2,1,-0.3842,1,False,45.3347,37.3484
raw_single_channel_phase_gat_team_mean_seed11,184,1,0,-0.2311,0,False,31.6597,16.3798
raw_single_channel_phase_gat_team_mean_seed11,322,1,0,-0.1418,0,False,20.6264,19.4837
raw_single_channel_phase_gat_team_mean_seed11,374,1,0,-0.2514,0,False,26.6091,22.5469
raw_single_channel_phase_gat_team_mean_seed11,280,1,2,0.252,1,True,20.8146,19.2771
raw_single_channel_phase_gat_team_mean_seed11,379,1,0,-0.2671,0,False,29.9086,21.2554
raw_single_channel_phase_gat_team_mean_seed11,333,0,1,0.1323,1,False,18.206,16.3619
raw_single_channel_phase_gat_team_mean_seed11,50,1,2,0.0716,1,True,10.0283,10.5374
raw_single_channel_phase_gat_team_mean_seed11,228,0,1,0.0822,1,False,15.1375,13.788
raw_single_channel_phase_gat_team_mean_seed11,123,2,1,-0.2617,1,False,39.4289,23.5356
raw_single_channel_phase_gat_team_mean_seed11,224,1,0,-0.0722,0,False,12.905,13.0487
raw_single_channel_phase_gat_team_mean_seed11,140,1,2,0.0865,1,True,16.4175,10.7974
raw_single_channel_phase_gat_team_mean_seed11,415,1,2,0.3583,1,True,43.3218,
raw_single_channel_phase_gat_team_mean_seed11,157,1,0,-0.2457,0,False,35.5701,31.8155
raw_single_channel_phase_gat_team_mean_seed11,254,0,1,0.1517,1,False,25.437,15.5419
raw_single_channel_phase_gat_team_mean_seed11,416,1,0,-0.3599,1,True,53.4281,
raw_single_channel_phase_gat_team_mean_seed11,25,0,1,0.2594,1,False,41.3561,17.3527
raw_single_channel_phase_gat_team_mean_seed11,258,1,0,-0.0352,0,False,8.368,7.1334
raw_single_channel_phase_gat_team_mean_seed11,276,1,0,-0.2577,0,False,36.4371,23.5307
raw_single_channel_phase_gat_team_mean_seed11,298,1,2,0.0986,2,False,14.0842,16.2305
raw_single_channel_phase_gat_team_mean_seed11,149,1,2,0.3455,2,False,49.5116,46.7628
raw_single_channel_phase_gat_team_mean_seed11,288,1,2,0.0722,2,False,9.0798,13.0831
raw_single_channel_phase_gat_team_mean_seed11,207,1,2,0.3165,1,True,38.7225,38.6999
raw_single_channel_phase_gat_team_mean_seed11,312,1,2,0.241,1,True,33.8003,27.6676
raw_single_channel_phase_gat_team_mean_seed11,31,0,1,0.2666,1,False,41.0398,20.2937
raw_single_channel_phase_gat_team_mean_seed11,10,0,1,0.0646,1,False,12.1875,8.9641
raw_single_channel_phase_gat_team_mean_seed11,230,0,1,0.1418,1,False,25.3868,15.757
raw_single_channel_phase_gat_team_mean_seed11,406,1,2,0.334,1,True,42.9885,44.5353
raw_single_channel_phase_gat_team_mean_seed11,320,1,0,-0.2005,0,False,27.8087,21.4837
raw_single_channel_phase_gat_team_mean_seed11,183,1,0,-0.2696,0,False,36.2961,19.4049
raw_single_channel_phase_gat_team_mean_seed11,22,0,1,0.24,1,False,37.2571,18.1493
raw_single_channel_phase_gat_team_mean_seed11,54,2,1,-0.2602,1,False,29.9383,21.5078
raw_single_channel_phase_gat_team_mean_seed11,47,1,2,0.3304,1,True,33.5997,39.2953
raw_single_channel_phase_gat_team_mean_seed11,210,1,0,-0.345,0,False,48.7004,37.1927
raw_single_channel_phase_gat_team_mean_seed11,394,1,2,0.31,1,True,35.047,30.9506
raw_single_channel_phase_gat_team_mean_seed11,345,1,0,-0.2205,0,False,31.7905,18.5676
raw_single_channel_phase_gat_team_mean_seed11,278,1,0,-0.3548,0,False,34.1335,
raw_single_channel_phase_gat_team_mean_seed11,208,1,2,0.3419,1,True,41.5908,47.1225
raw_single_channel_phase_gat_team_mean_seed11,286,1,2,0.1056,2,False,12.9717,15.2897
raw_single_channel_phase_gat_team_mean_seed11,226,1,0,-0.0388,0,False,6.9312,7.7497
raw_single_channel_phase_gat_team_mean_seed11,137,1,2,0.083,1,True,12.4327,15.1224
raw_single_channel_phase_gat_team_mean_seed11,15,0,1,0.1355,1,False,23.7326,13.4087
raw_single_channel_phase_gat_team_mean_seed11,141,1,2,0.0917,1,True,15.6161,11.618
raw_single_channel_phase_gat_team_mean_seed11,314,1,2,0.3368,1,True,35.5038,37.1718
raw_single_channel_phase_gat_team_mean_seed11,360,1,0,-0.2677,0,False,34.712,21.6506
raw_single_channel_phase_gat_team_mean_seed11,198,1,0,-0.1935,0,False,26.8585,24.9726
raw_single_channel_phase_gat_team_mean_seed11,389,1,0,-0.3632,1,True,36.1874,
raw_single_channel_phase_gat_team_mean_seed11,143,1,2,0.1351,1,True,20.8294,14.1698
raw_single_channel_phase_gat_team_mean_seed11,222,1,0,-0.0858,0,False,15.5879,17.12
raw_single_channel_phase_gat_team_mean_seed11,212,1,0,-0.267,0,False,40.2205,29.0787
raw_single_channel_phase_gat_team_mean_seed11,192,0,1,0.0411,1,False,7.3013,7.322
raw_single_channel_phase_gat_team_mean_seed11,114,2,1,-0.3619,1,False,47.0316,40.6993
raw_single_channel_phase_gat_team_mean_seed11,361,1,0,-0.265,0,False,34.7876,19.5584
raw_single_channel_phase_gat_team_mean_seed11,115,2,1,-0.3664,1,False,44.5966,37.5056
raw_single_channel_phase_gat_team_mean_seed11,41,0,1,0.0321,1,False,7.5566,7.3435
raw_single_channel_phase_gat_team_mean_seed11,270,1,0,-0.1332,0,False,17.2232,13.8023
raw_single_channel_phase_gat_team_mean_seed11,152,1,0,-0.3212,0,False,45.2635,43.5177
raw_single_channel_phase_gat_team_mean_seed11,235,0,1,0.2676,1,False,37.154,21.7595
raw_single_channel_phase_gat_team_mean_seed11,124,2,1,-0.2156,1,False,33.7628,22.6341
raw_single_channel_phase_gat_team_mean_seed11,317,1,0,-0.3264,0,False,41.31,26.0519
raw_single_channel_phase_gat_team_mean_seed11,398,1,2,0.3099,1,True,33.462,30.6012
raw_single_channel_phase_gat_team_mean_seed11,231,0,1,0.17,1,False,26.8254,16.8607
raw_single_channel_phase_gat_team_mean_seed11,55,2,1,-0.2996,1,False,34.129,23.7018
raw_single_channel_phase_gat_team_mean_seed11,365,1,0,-0.2572,0,False,34.8487,17.2133
raw_single_channel_phase_gat_team_mean_seed11,397,1,2,0.305,1,True,33.0121,30.2606
raw_single_channel_phase_gat_team_mean_seed11,201,1,0,-0.3353,0,False,35.1086,26.633
raw_single_channel_phase_gat_team_mean_seed11,305,1,2,0.2537,2,False,36.6775,23.2558
raw_single_channel_phase_gat_team_mean_seed11,257,0,1,0.0408,1,False,8.6141,7.3704
raw_single_channel_phase_gat_team_mean_seed11,386,1,0,-0.3122,0,False,34.8716,29.0535
raw_single_channel_phase_gat_team_mean_seed11,244,0,1,0.3349,1,False,45.7113,29.4818
raw_single_channel_phase_gat_team_mean_seed11,424,1,0,-0.2838,0,False,48.6531,35.2581
raw_single_channel_phase_gat_team_mean_seed11,225,1,0,-0.0589,0,False,9.6393,11.489
raw_single_channel_phase_gat_team_mean_seed11,422,1,0,-0.2979,0,False,50.5967,35.6835
raw_single_channel_phase_gat_team_mean_seed11,348,1,0,-0.2419,0,False,39.5857,22.7702
raw_single_channel_phase_gat_team_mean_seed11,401,1,2,0.3221,1,True,39.1753,34.7204
raw_single_channel_phase_gat_team_mean_seed11,1,1,2,0.3578,1,True,45.4249,
raw_single_channel_phase_gat_team_mean_seed11,185,1,0,-0.1948,0,False,26.754,20.3039
raw_single_channel_phase_gat_team_mean_seed11,189,1,0,-0.1127,0,False,18.1398,16.7601
raw_single_channel_phase_gat_team_mean_seed11,358,1,0,-0.2686,0,False,36.352,25.3235
raw_single_channel_phase_gat_team_mean_seed11,414,1,2,0.35,1,True,42.9829,
raw_single_channel_phase_gat_team_mean_seed11,195,1,0,-0.0741,0,False,12.6854,11.1672
raw_single_channel_phase_gat_team_mean_seed11,196,1,0,-0.1135,0,False,19.7687,16.856
raw_single_channel_phase_gat_team_mean_seed11,176,1,0,-0.3402,0,False,42.395,40.1262
raw_single_channel_phase_gat_team_mean_seed11,405,1,2,0.3321,1,True,42.4819,43.6522
raw_single_channel_phase_gat_team_mean_seed11,125,2,1,-0.1725,1,False,31.7198,19.6293
raw_single_channel_phase_gat_team_mean_seed11,367,1,0,-0.2485,0,False,33.3205,18.16
raw_single_channel_phase_gat_team_mean_seed11,155,1,0,-0.2876,0,False,45.3891,40.3997
raw_single_channel_phase_gat_team_mean_seed11,16,0,1,0.1535,1,False,28.6541,14.146
raw_single_channel_phase_gat_team_mean_seed11,21,0,1,0.2295,1,False,38.0716,16.7874
raw_single_channel_phase_gat_team_mean_seed11,402,1,2,0.3243,1,True,42.2231,36.8086
raw_single_channel_phase_gat_team_mean_seed11,14,0,1,0.12,1,False,21.3194,13.486
raw_single_channel_phase_gat_team_mean_seed11,265,1,0,-0.0523,0,False,8.7473,8.1497
raw_single_channel_phase_gat_team_mean_seed11,407,1,2,0.3342,1,True,42.4675,46.1305
raw_single_channel_phase_gat_team_mean_seed11,46,1,0,-0.3412,1,True,40.0516,26.9714
raw_single_channel_phase_gat_team_mean_seed11,399,1,2,0.3127,1,True,36.4359,31.3023
raw_single_channel_phase_gat_team_mean_seed11,162,1,0,-0.0809,0,False,10.3037,12.0804
raw_single_channel_phase_gat_team_mean_seed11,158,1,0,-0.2222,0,False,34.5686,26.7763
raw_single_channel_phase_gat_team_mean_seed11,49,1,2,0.1692,1,True,24.5017,16.5678
raw_single_channel_phase_gat_team_mean_seed11,267,1,0,-0.0611,0,False,9.9139,9.2463
raw_single_channel_phase_gat_team_mean_seed11,170,1,0,-0.3169,0,False,35.3164,30.9968
raw_single_channel_phase_gat_team_mean_seed11,8,0,1,0.0743,0,True,11.052,10.9047
raw_single_channel_phase_gat_team_mean_seed11,242,0,1,0.3275,1,False,45.256,27.7775
raw_single_channel_phase_gat_team_mean_seed11,113,2,1,-0.3864,1,False,47.9074,40.9938
raw_single_channel_phase_gat_team_mean_seed11,370,1,0,-0.2354,0,False,33.6262,20.7463
raw_single_channel_phase_gat_team_mean_seed11,53,2,1,-0.2154,1,False,25.2199,18.5533
raw_single_channel_phase_gat_team_mean_seed11,3,1,0,-0.2363,0,False,39.8658,29.9178
raw_single_channel_phase_gat_team_mean_seed11,281,1,2,0.2119,1,True,21.759,17.1188
raw_single_channel_phase_gat_team_mean_seed11,395,1,2,0.3067,1,True,33.8472,29.7357
raw_single_channel_phase_gat_team_mean_seed11,311,1,2,0.211,1,True,29.3452,23.0257
raw_single_channel_phase_gat_team_mean_seed11,234,0,1,0.2459,1,False,34.6246,21.884
raw_single_channel_phase_gat_team_mean_seed11,315,1,0,-0.355,0,False,43.0159,
raw_single_channel_phase_gat_team_mean_seed11,413,1,2,0.3459,1,True,43.3554,49.1291
raw_single_channel_phase_gat_team_mean_seed11,289,1,2,0.0558,2,False,6.2638,10.6595
raw_single_channel_phase_gat_team_mean_seed11,17,0,1,0.172,1,False,28.9887,14.4123
raw_single_channel_phase_gat_team_mean_seed11,138,1,2,0.0835,1,True,12.5504,14.2947
raw_single_channel_phase_gat_team_mean_seed11,200,1,0,-0.2894,0,False,34.9237,22.5508
raw_single_channel_phase_gat_team_mean_seed11,35,0,1,0.3973,1,False,46.1633,26.3716
raw_single_channel_phase_gat_team_mean_seed11,423,1,0,-0.2889,0,False,48.4498,36.6504
raw_single_channel_phase_gat_team_mean_seed11,241,0,1,0.3242,1,False,45.1706,27.3209
raw_single_channel_phase_gat_team_mean_seed11,197,1,0,-0.1521,0,False,22.5641,21.4058
raw_single_channel_phase_gat_team_mean_seed11,316,1,0,-0.3432,0,False,39.9282,27.9259
raw_single_channel_phase_gat_team_mean_seed11,131,1,2,0.0589,1,True,10.015,11.5236
raw_single_channel_phase_gat_team_mean_seed11,148,1,2,0.3139,2,False,45.6482,39.9935
raw_single_channel_phase_gat_team_mean_seed11,219,1,0,-0.0553,0,False,12.8002,9.6226
raw_single_channel_phase_gat_team_mean_seed11,39,0,1,0.1772,1,False,28.2586,16.0485
raw_single_channel_phase_gat_team_mean_seed11,272,1,0,-0.2318,0,False,29.272,19.6524
raw_single_channel_phase_gat_team_mean_seed11,362,1,0,-0.262,0,False,33.5694,19.5479
raw_single_channel_phase_gat_team_mean_seed11,142,1,2,0.1086,1,True,19.2797,11.8029
raw_single_channel_phase_gat_team_mean_seed11,261,1,0,-0.047,0,False,9.7026,8.6775
raw_single_channel_phase_gat_team_mean_seed11,390,1,2,0.3477,1,True,37.5256,34.4969
raw_single_channel_phase_gat_team_mean_seed11,166,1,0,-0.1368,0,False,19.2481,20.1058
raw_single_channel_phase_gat_team_mean_seed11,29,0,1,0.2623,1,False,41.8847,19.3784
raw_single_channel_phase_gat_team_mean_seed11,324,1,0,-0.1779,0,False,26.6754,15.7899
raw_single_channel_phase_gat_team_mean_seed11,284,1,2,0.1404,1,True,17.2074,16.9657
raw_single_channel_phase_gat_team_mean_seed11,236,0,1,0.2869,1,False,39.6804,23.0746
raw_single_channel_phase_gat_team_mean_seed11,420,1,0,-0.319,0,False,53.6675,31.2997
raw_single_channel_phase_gat_team_mean_seed11,299,1,2,0.1593,2,False,22.8907,17.621
raw_single_channel_phase_gat_team_mean_seed11,381,1,0,-0.2687,0,False,30.6986,21.9693
raw_single_channel_phase_gat_team_mean_seed11,180,1,0,-0.352,0,False,39.9173,
raw_single_channel_phase_gat_team_mean_seed11,274,1,0,-0.2771,0,False,37.0092,31.3067
raw_single_channel_phase_gat_team_mean_seed11,310,1,2,0.2092,1,True,25.321,20.1774
raw_single_channel_phase_gat_team_mean_seed11,273,1,0,-0.2636,0,False,35.177,28.7543
raw_single_channel_phase_gat_team_mean_seed11,378,1,0,-0.2654,0,False,28.3198,21.1895
raw_single_channel_phase_gat_team_mean_seed11,251,0,1,0.3368,1,False,42.7948,23.9592
raw_single_channel_phase_gat_team_mean_seed11,287,1,2,0.0883,2,False,10.5845,13.3919
raw_single_channel_phase_gat_team_mean_seed11,199,1,0,-0.2414,0,False,31.0754,20.8922
raw_single_channel_phase_gat_team_mean_seed11,20,0,1,0.2179,1,False,36.9241,16.1031
raw_single_channel_phase_gat_team_mean_seed11,319,1,0,-0.2506,0,False,32.1525,22.8111
raw_single_channel_phase_gat_team_mean_seed11,167,1,0,-0.1934,0,False,27.6212,26.9853
raw_single_channel_phase_gat_team_mean_seed11,45,1,0,-0.2811,1,True,34.9064,22.1273
raw_single_channel_phase_gat_team_mean_seed11,318,1,0,-0.2885,0,False,34.7762,22.6431
raw_single_channel_phase_gat_team_mean_seed11,334,0,1,0.1381,1,False,20.4241,16.4632
raw_single_channel_phase_gat_team_mean_seed11,215,1,0,-0.0753,0,False,11.5357,12.4469
raw_single_channel_phase_gat_team_mean_seed11,130,1,2,0.0426,1,True,8.162,6.6877
raw_single_channel_phase_gat_team_mean_seed11,328,1,0,-0.041,0,False,8.2993,7.4788
raw_single_channel_phase_gat_team_mean_seed11,247,0,1,0.3656,1,False,47.4154,26.2098
raw_single_channel_phase_gat_team_mean_seed11,136,1,2,0.0841,1,True,13.868,15.6225
raw_single_channel_phase_gat_team_mean_seed11,11,0,1,0.0766,1,False,15.6048,8.6429
raw_single_channel_phase_gat_team_mean_seed11,350,1,0,-0.2557,0,False,39.8553,23.592
raw_single_channel_phase_gat_team_mean_seed11,182,1,0,-0.3024,0,False,38.4832,25.7901
raw_single_channel_phase_gat_team_mean_seed11,331,0,1,0.1276,1,False,17.5185,15.7219
raw_single_channel_phase_gat_team_mean_seed11,232,0,1,0.1974,1,False,28.1787,21.4791
raw_single_channel_phase_gat_team_mean_seed11,246,0,1,0.3516,1,False,46.8007,27.1052
raw_single_channel_phase_gat_team_mean_seed11,243,0,1,0.3319,1,False,45.945,27.8975
raw_single_channel_phase_gat_team_mean_seed11,408,1,2,0.3326,1,True,43.4849,47.225
raw_single_channel_phase_gat_team_mean_seed11,133,1,2,0.0811,1,True,11.4018,14.6006
raw_single_channel_phase_gat_team_mean_seed11,301,1,2,0.2715,2,False,29.8391,20.6503
raw_single_channel_phase_gat_team_mean_seed11,220,1,0,-0.0637,0,False,15.8385,11.0308
raw_single_channel_phase_gat_team_mean_seed11,175,1,0,-0.3363,0,False,42.6602,37.1506
raw_single_channel_phase_gat_team_mean_seed11,403,1,2,0.3274,1,True,41.5474,40.4866
