name,start,size,arch,seed,frac,method,opt_key,opt_kind,lr,momentum,steps,dev_bce,dev_clean_bce,train_error,final_loss,init_state_sha256,init_sha256_o01,final_state_sha256,clean_state_sha256,clean_checkpoint_sha256,clean_candidate,checkpoint_sha256,batch_order_sha256,flips_used,preserves_used,replay_points,forwards_per_step,total_forward_passes,total_backward_passes,train_sha256,flip_sha256,preserve_sha256,dev_sha256,eval_sha256,wall_seconds,J,atomic_pass,AB_pass
scratch_4N_raw_s23_f0_plain_sgd_m09_lr0.003,scratch,4N,raw,23,0,plain,sgd_m09_lr0.003,sgd,0.003,0.9,300,0.6914306282997131,,0.3837890625,0.6810786128044128,9d365bebbda0e357e79f5ffb271998b99620a9c3e917e3991cbdc32538dc1177,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,acf0091ff7eae8c9fb0657451f4a1ce8185c70f567aa751b84aea0b271a9a1f1,,,,a1ee5ebe6e18a247a0537eefceb3a77db03475275cfee3521c22120c6141d1fc,7ef825ff320ce9d409a9d284b834209a69706e09b8c0d2c91f91abf3d1bbb787,0,0,0,2048,614400,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,0.4571850523352623,0.01952807160292921,0.5679414157851912,0.41822620016273393
scratch_4N_raw_s23_f0_plain_sgd_m09_lr0.01,scratch,4N,raw,23,0,plain,sgd_m09_lr0.01,sgd,0.01,0.9,300,0.6970254778862,,0.162109375,0.4060100018978119,9d365bebbda0e357e79f5ffb271998b99620a9c3e917e3991cbdc32538dc1177,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,f3d906c72f5fe494788cedb8a7028359fbdef410389d33218ad7c6de2d2572d8,,,,1a17c0bc864100bc7bc7edd720ecce30390450ec1adcaadc8c46d859fc78cc6c,7ef825ff320ce9d409a9d284b834209a69706e09b8c0d2c91f91abf3d1bbb787,0,0,0,2048,614400,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,0.46352439373731613,0.07078925956061839,0.6427990235964198,0.40520748576078114
scratch_4N_raw_s23_f100_plain_adam_lr0.0005_steps600,scratch,4N,raw,23,100,plain,adam_lr0.0005_steps600,adam,0.0005,,600,0.42955610156059265,,0.02587890625,0.21701937913894653,9d365bebbda0e357e79f5ffb271998b99620a9c3e917e3991cbdc32538dc1177,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,abe1a64be374292fef49b50e42e1c70dee7f5c8db9463a73e3b9fcdf1e210ab4,,,,cccd8587fddea353d8a35414b63e22ec603d8a8ef42ff898a7e959369bd28900,2c63ff060baad28dbc95e15bc2550d208d37bf1b4655a0c6afeef711f39977b7,6390,0,0,8438,5062800,600,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,3.1625891253352165,0.3449959316517494,0.6436126932465419,0.6899918633034988
scratch_4N_raw_s23_f100_plain_sgd_m09_lr0.003,scratch,4N,raw,23,100,plain,sgd_m09_lr0.003,sgd,0.003,0.9,300,0.5977016687393188,,0.5,1.3153437376022339,9d365bebbda0e357e79f5ffb271998b99620a9c3e917e3991cbdc32538dc1177,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,55f086ecb40f3f76fdf1162ce25dd160669b6a728114bba22b8f6a57d9533f69,,,,5b21406500324efbb791b82cc3297d0a5897c0c90ff5fd3abfc8594ff2357db9,2c63ff060baad28dbc95e15bc2550d208d37bf1b4655a0c6afeef711f39977b7,6390,0,0,8438,2531400,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,1.5062382146716118,0.0,0.22945484133441824,0.7705451586655818
scratch_4N_raw_s23_f100_plain_sgd_m09_lr0.01,scratch,4N,raw,23,100,plain,sgd_m09_lr0.01,sgd,0.01,0.9,300,0.5583074688911438,,0.3515625,1.1526672840118408,9d365bebbda0e357e79f5ffb271998b99620a9c3e917e3991cbdc32538dc1177,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,f012c39a3a069f45ef57e1c47e499cf63ffd66147ebd934d3618502d042b60e4,,,,cff3b3602ae857e1bfa904627c7f1f9170e2665d26e054cd73bab0ceec07ec11,2c63ff060baad28dbc95e15bc2550d208d37bf1b4655a0c6afeef711f39977b7,6390,0,0,8438,2531400,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,1.7183759286999702,0.05370219690805533,0.32465419039869814,0.7225386493083807
scratch_4N_raw_s23_f25_plain_adam_lr0.0005_steps600,scratch,4N,raw,23,25,plain,adam_lr0.0005_steps600,adam,0.0005,,600,0.5130482316017151,,0.04150390625,0.20887428522109985,9d365bebbda0e357e79f5ffb271998b99620a9c3e917e3991cbdc32538dc1177,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,19caf71361960f8e79962ad8a3420eb69a54392a0bb6282de9d85226f0f1b7d1,,,,7aa4d5bc62042fe7c1dafe8301a5885c70e2a6db7bd8ee3c5964c4ce92ad4aef,1b9ee37f9c8057fa8c0afc721ea672150328c879d4f1306535b67f742e9d3109,1597,0,0,3645,2187000,600,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,1.787206582725048,0.24328722538649308,0.5890968266883645,0.6419853539462979
scratch_4N_raw_s23_f25_plain_sgd_m09_lr0.003,scratch,4N,raw,23,25,plain,sgd_m09_lr0.003,sgd,0.003,0.9,300,0.5953752398490906,,0.5,1.310457468032837,9d365bebbda0e357e79f5ffb271998b99620a9c3e917e3991cbdc32538dc1177,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,53ac17a1c845eb77b2ccb372ba5adc3e7810013d4453edd8ab69573c20b5184e,,,,b06db78514a4b3c2981872755ce05ea2556cb8762041539b6e23138d95aef1a6,1b9ee37f9c8057fa8c0afc721ea672150328c879d4f1306535b67f742e9d3109,1597,0,0,3645,1093500,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,0.7841576188802719,0.0,0.22945484133441824,0.7705451586655818
scratch_4N_raw_s23_f25_plain_sgd_m09_lr0.01,scratch,4N,raw,23,25,plain,sgd_m09_lr0.01,sgd,0.01,0.9,300,0.5436211228370667,,0.31396484375,1.1168715953826904,9d365bebbda0e357e79f5ffb271998b99620a9c3e917e3991cbdc32538dc1177,d4f3eb242038f46edad5375e40bd669373e3c068e3da28d585a16dc4f551789c,6b1aeabc4ca53e175a78476c3b9826780a6ef4210f89a2b3f6080299017c25e0,,,,e0876ea8a900a66b77a783c3cd3ae592a50febb07aceb17ab695f658462417ec,1b9ee37f9c8057fa8c0afc721ea672150328c879d4f1306535b67f742e9d3109,1597,0,0,3645,1093500,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,0.7645489424467087,0.05858421480878763,0.3799837266069976,0.6639544344995931
scratch_4N_raw_s47_f0_plain_adam_lr0.0005_steps600,scratch,4N,raw,47,0,plain,adam_lr0.0005_steps600,adam,0.0005,,600,1.4723401069641113,,0.0,0.009442359209060669,a341607dd526dad2e742a0f8172e8eda6638a4ab7299c4abfd7a1e8acba929cf,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,7aa65c362adc1f2c3886e041b75a6a742cbf0fb3dc077ee5e332de8cc6e1d2e3,,,,217de0ee091dce20f7c189817e093b88087356b59c6887efc6470df272f43d94,7ef825ff320ce9d409a9d284b834209a69706e09b8c0d2c91f91abf3d1bbb787,0,0,0,2048,1228800,600,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,1.113440491259098,0.11391375101708706,0.6126932465419039,0.48576078112286414
scratch_4N_raw_s47_f0_plain_sgd_m09_lr0.003,scratch,4N,raw,47,0,plain,sgd_m09_lr0.003,sgd,0.003,0.9,300,0.6902822852134705,,0.37646484375,0.6810873746871948,a341607dd526dad2e742a0f8172e8eda6638a4ab7299c4abfd7a1e8acba929cf,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,4bbf76ed9b7804666e2a710d4e9a135ba688c44eeb62fa8bf84352503dd90ea1,,,,a10365611b2ad068e45f3179807f84bf51671126a33ed18f5346394b9ca52b74,7ef825ff320ce9d409a9d284b834209a69706e09b8c0d2c91f91abf3d1bbb787,0,0,0,2048,614400,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,0.4713044762611389,0.021969080553295363,0.5296989422294548,0.47111472742066723
scratch_4N_raw_s47_f0_plain_sgd_m09_lr0.01,scratch,4N,raw,47,0,plain,sgd_m09_lr0.01,sgd,0.01,0.9,300,0.7070267796516418,,0.1630859375,0.4167952537536621,a341607dd526dad2e742a0f8172e8eda6638a4ab7299c4abfd7a1e8acba929cf,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,01d175ec36e8b9d93c29437edde1f3ad686a6e5b7526ebf75965f6839b976d46,,,,1fff70f290f6a94da3cbda30a476d73ef956688a400d158bf887d5a24a44c35b,7ef825ff320ce9d409a9d284b834209a69706e09b8c0d2c91f91abf3d1bbb787,0,0,0,2048,614400,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,0.46164213865995407,0.07241659886086249,0.6053702196908055,0.44751830756712774
scratch_4N_raw_s47_f100_plain_adam_lr0.0005_steps600,scratch,4N,raw,47,100,plain,adam_lr0.0005_steps600,adam,0.0005,,600,0.5497426986694336,,0.0302734375,0.24197210371494293,a341607dd526dad2e742a0f8172e8eda6638a4ab7299c4abfd7a1e8acba929cf,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,cfe025ea20de53fefb15b3bacfd19236c935c321b02f617319237fe1f73a2a35,,,,e3cd7a2efbfe45cd025c0d293d6759f9b030a0086245537eb4cfc632cd3b3f61,2c63ff060baad28dbc95e15bc2550d208d37bf1b4655a0c6afeef711f39977b7,6390,0,0,8438,5062800,600,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,4.089838080108166,0.34092758340113916,0.6826688364524003,0.6509357200976403
scratch_4N_raw_s47_f100_plain_sgd_m09_lr0.003,scratch,4N,raw,47,100,plain,sgd_m09_lr0.003,sgd,0.003,0.9,300,0.5975918173789978,,0.5,1.310389518737793,a341607dd526dad2e742a0f8172e8eda6638a4ab7299c4abfd7a1e8acba929cf,67618814a1353128eaee8389ebe001e129a8b8759ef72b884c96950d7eac6197,344bf1befbacfbdf95185bed9b9cb9e30ea46dadc05d0800a4e04224130b5c3a,,,,507570d8b86a571f079104d779ed0c0db1549a21ba800a5a7f06ce911c1d0bb1,2c63ff060baad28dbc95e15bc2550d208d37bf1b4655a0c6afeef711f39977b7,6390,0,0,8438,2531400,300,ae12d7d2443203214d1a1b6e6c0a259704d5a2a78dd3372c3eba05c56b325c96,3d41204b1e9c664522378aa87f6359809137464d8693f339bb080d14d9c77140,60df0a7db0688df4967c306e4e36304a0f68d000d96b9af922caff79c7ab1fa0,10dfdb81f8d4e94b6c79fe77873ee10c1c43c43b752debce9aaf7641d2402843,fd0b415d4995c8ff6b61d5f15fd84a08191887a08a37ecd0fc53bb9453bf23c6,1.7269247621297836,0.0,0.22945484133441824,0.7705451586655818
